"external_urls__spotify","followers__href","followers__total","genres__001","genres__002","genres__003","genres__004","genres__005","href","id","images__height","images__url","images__width","name","popularity","type","uri","genres__006","genres__007","genres__008","genres__009","genres__010","genres__011","genres__012","genres__013","genres__014","genres__015","genres__016","genres__017","genres__018","genres__019"
"https://open.spotify.com/artist/7hJcb9fa4alzcOq3EaNPoG","null","6189824","g funk","gangster rap","hip hop","rap","west coast rap","https://api.spotify.com/v1/artists/7hJcb9fa4alzcOq3EaNPoG","7hJcb9fa4alzcOq3EaNPoG","640","https://i.scdn.co/image/11208d65843456cf3854717b8e411ef8fede7141","640","Snoop Dogg","86","artist","spotify:artist:7hJcb9fa4alzcOq3EaNPoG","","","","","","","","","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/4ddba58867285a1e858291a108613526df2ce934","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/1e67815be9174e75753d52a006b86077a39719cf","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/1qiwaJwjKod5WhcYZ76O1B","null","90853","ambient","art pop","canadian experimental","compositional ambient","drone","https://api.spotify.com/v1/artists/1qiwaJwjKod5WhcYZ76O1B","1qiwaJwjKod5WhcYZ76O1B","640","https://i.scdn.co/image/a162f75d025da4ca67d1a2babfece7d3f70e3123","640","Tim Hecker","47","artist","spotify:artist:1qiwaJwjKod5WhcYZ76O1B","electronica","experimental","fourth world","freak folk","intelligent dance music","microhouse","warm drone","","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/8a3de9c023a8bd26bff8d4f0d5fd1474ee2c43f1","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/be968f90b77e205f10f58dcd8d7f63d360bc7875","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/01mXk9IDlVczWwZvVHAiIS","null","52518","indie jazz","indie soul","uk contemporary jazz","","","https://api.spotify.com/v1/artists/01mXk9IDlVczWwZvVHAiIS","01mXk9IDlVczWwZvVHAiIS","640","https://i.scdn.co/image/0e6b6f2ba07c3fc5fe453ff5e10c193b7cd207ee","640","Kamaal Williams","50","artist","spotify:artist:01mXk9IDlVczWwZvVHAiIS","","","","","","","","","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/538d7122136f04e039137cdab915bfacaa6fa059","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/962798b57ebca1754d3e12213faf2975d06460ab","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/2wPDbhaGXCqROrVmwDdCrK","null","131344","ambient","art pop","chamber psych","chillwave","compositional ambient","https://api.spotify.com/v1/artists/2wPDbhaGXCqROrVmwDdCrK","2wPDbhaGXCqROrVmwDdCrK","640","https://i.scdn.co/image/0513eb98de7ee505153e9175f79e3fb59457c9aa","640","Oneohtrix Point Never","55","artist","spotify:artist:2wPDbhaGXCqROrVmwDdCrK","drone","electronica","escape room","experimental pop","fluxwork","fourth world","freak folk","hauntology","intelligent dance music","microhouse","outsider house","vaporwave","wonky",""
"","","","","","","","","","","320","https://i.scdn.co/image/c2916431ed604115923fd8b6a89078f18fcf0e3d","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/c26d5e5979146326b26aa7d7556a616a4c505755","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/3r1XkJ7vCs8kHBSzGvPLdP","null","248904","hip hop","rap","uk alternative hip hop","uk hip hop","","https://api.spotify.com/v1/artists/3r1XkJ7vCs8kHBSzGvPLdP","3r1XkJ7vCs8kHBSzGvPLdP","640","https://i.scdn.co/image/414c7b0cccef717535d546e27cb8523ebaad68f3","640","slowthai","70","artist","spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP","","","","","","","","","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/9311c313b3dd4f85129171d59025f3b3c034bfda","320","","","","","","","","","","","","","","","","","",""
